Travels Name,Bus Type,Price,Time
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,06:00
Golden ,A/C Semi Sleeper (2+2),300,07:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,05:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,06:50
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,12:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,05:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,15:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,19:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,14:45
Golden ,A/C Semi Sleeper (2+2),300,09:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,14:00
Golden ,A/C Semi Sleeper (2+2),300,13:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,08:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,13:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,07:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,16:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,09:15
Golden ,A/C Semi Sleeper (2+2),250,19:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,05:15
N.T. Siddhanath Travels ,A/C Sleeper (2+1),1910,21:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,05:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,11:15
Himalaya Travels ,A/C Sleeper (2+1),1510,20:30
Golden ,A/C Semi Sleeper (2+2),250,20:10
N.T. Saini Palace On Wheels ,A/C Sleeper (2+1),1810,22:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,10:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,06:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,07:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,15:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,17:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,13:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,18:15
Neeta tours and travels ,Bharat Benz A/C Sleeper (2+1),1000,22:31
Neeta tours and travels ,A/C Sleeper (2+1),950,23:45
Gujarat     travels ,A/C Sleeper (2+1),500,08:10
Chirag Travels Co.™ ,Scania AC Multi Axle Sleeper (2+1),800,04:50
Neeta tours and travels ,Bharat Benz A/C Sleeper (2+1),1000,22:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,10:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,11:45
Neeta tours and travels ,Bharat Benz A/C Sleeper (2+1),1000,22:29
Neeta tours and travels ,A/C Sleeper (2+1),800,02:30
Neeta Travels (Laxmi Travellers) ,A/C Seater / Sleeper (2+1),400,17:30
Yash Yatra Tour Orgniser ,A/C Seater (2+2),510,20:40
N.T. Mansi ,A/C Sleeper (2+1),2400,15:15
Gujarat     travels ,A/C Sleeper (2+1),1100,09:10
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,18:00
Raj Travels Express ,NON A/C Sleeper (2+1),1100,04:41
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,16:30
N.T. Akanksha Tourism ,A/C Sleeper (2+1),2400,18:15
Sanjay Travels Musafir ,A/C Sleeper (2+1),1500,22:00
Himalaya Travels ,A/C Sleeper (2+1),1510,22:00
Himalaya Travels ,A/C Sleeper (2+1),1510,21:00
Humsafar   Travels ,Bharat Benz A/C Sleeper (2+1),1200,22:00
Humsafar   Travels ,A/C Sleeper (2+1),1600,21:00
Amaals Travels ,A/C Sleeper (2+1),1500,19:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,06:15
Supreme Travels ,A/C Seater (2+2),500,21:00
Supreme Travels ,A/C Sleeper (2+1),1000,21:15
PVS Tours and Travels ,A/C Sleeper (2+1),1000,20:30
PVS Tours and Travels ,A/C Sleeper (2+1),1000,21:00
Sri Sai Atmaram Manish Travels ,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),2000,18:45
Sri Sai Atmaram Manish Travels ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),2500,20:00
Yash Yatra Tour Orgniser ,A/C Seater (2+2),3300,20:40
Neeta Tours & Travels ,A/C Sleeper (2+1),1300,23:15
Neeta Tours & Travels ,A/C Sleeper (2+1),1900,21:00
Anand Travels ,A/C Sleeper (2+1),3010,14:00
Anand Travels ,NON A/C Seater / Sleeper (2+1),2000,15:30
Anand Travels ,A/C Sleeper (2+1),3010,15:45
Anand Travels ,A/C Sleeper (2+1),3010,18:30
Anand Travels ,A/C Sleeper (2+1),3010,19:50
Anand Travels ,A/C Sleeper (2+1),3010,10:20
Anand Travels ,Bharat Benz NON A/C sleeper (2+1),2500,11:15
Anand Travels ,NON A/C Seater / Sleeper (2+1),2000,16:30
Anand Travels ,Volvo Multi-Axle Sleeper A/C (2+1),3510,11:50
Anand Travels ,Bharat Benz A/C Sleeper (2+1),3010,13:00
Neeta tours and travels ,Bharat Benz A/C Sleeper (2+1),1000,22:32
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,19:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),899,05:45
Ajara Travels ,A/C Sleeper (2+1),1349,17:25
Ajara Travels ,NON A/C Seater (2+2),989,18:00
Sai  travels chembur ,A/C Sleeper (2+1),1400,20:00
Sai  travels chembur ,A/C Sleeper (2+1),1200,19:30
Sai  travels chembur ,A/C Sleeper (2+1),1400,20:30
Ajara Travels ,NON A/C Seater (2+2),989,16:20
N.T. Mansi ,Bharat Benz A/C Sleeper (2+1),2400,19:45
N.T. Meera ,A/C Sleeper (2+1),2500,18:30
N.T. Pawan Maharaja ,A/C Sleeper (2+1),1710,19:35
N.T. Pravin ,NON A/C Seater (2+2),1010,20:00
N.T. National Express ,A/C Sleeper (1+2),1810,22:30
N.T. Maharaja Travels ,A/C Sleeper (2+1),1710,22:15
N.T. Vaibhav Travels ,A/C Sleeper (2+1),1710,19:45
N.T. Siddhanath ,A/C Sleeper (2+1),1810,19:00
N.T. Bhavna Travels ,A/C Sleeper (2+1),1810,19:30
N.T. Maharaja ,A/C Sleeper (2+1),1710,22:45
N.T. Kingfisher Translines ,A/C Sleeper (2+1),2400,17:15
N.T. Red Fox Travels ,A/C Sleeper (2+1),1810,19:05
B R Travels ,A/C Seater / Sleeper (2+1),2999,15:30
N.T. New Akash Travels ,A/C Sleeper (2+1),1810,21:00
N.T. Ram Leela Travels ,A/C Sleeper (2+1),1810,20:15
N.T. Akanksha Tourism ,NON A/C Seater (2+2),1010,19:30
N.T. Musafir Sanjay Travels ,A/C Sleeper (2+1),1810,20:30
N.T. M B Link Travels ,A/C Sleeper (2+1),1710,21:00
N.T. Ashoka ,A/C Sleeper (2+1),1810,20:45
N.T. Ashoka ,A/C Sleeper (2+1),1810,20:15
N.T. Akanksha Tourism ,Bharat Benz A/C Seater /Sleeper (2+1),1010,20:15
N.T. Nakoda ,A/C Sleeper (2+1),1810,19:45
N.T. Nakoda ,A/C Sleeper (2+1),1810,20:45
N.T. Sanjay Musafir ,A/C Sleeper (2+1),1810,21:30
N.T. Maharaja Travels ,A/C Sleeper (2+1),1710,22:00
N.T. Maharaja ,A/C Sleeper (2+1),1710,20:30
N.T. Siddhanath ,NON A/C Seater (2+2),1010,18:40
N.T. Abhinav ,A/C Sleeper (2+1),2400,16:00
Gujarat     travels ,Bharat Benz A/C Sleeper (2+1),2000,18:30
Gujarat     travels ,NON A/C Sleeper (2+1),1000,05:25
Gujarat     travels ,Volvo Multi-Axle A/C Sleeper (2+1),1600,04:55
Gujarat Travels Premium Plus ,Volvo Multi-Axle Sleeper A/C (2+1),500,03:35
Gujarat     travels ,A/C Sleeper (2+1),1100,16:00
Gujarat     travels ,A/C Sleeper (2+1),1200,05:19
Gujarat     travels ,A/C Sleeper (2+1),500,17:00
Gujarat     travels ,A/C Sleeper (2+1),1000,00:55
Gujarat     travels ,A/C Sleeper (2+1),1800,15:25
Ocean Bus ,A/C Sleeper (2+1),1100,14:00
Ocean Bus ,A/C Sleeper (2+1),800,18:30
Ocean Bus ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),1300,16:15
Swami  travel ,Volvo A/C Seater (2+2),600,21:00
MR Travels ,NON A/C Seater (2+2),800,15:30
MR Travels ,NON A/C Seater (2+2),799,15:15
BK Travels (MR) ,NON A/C Sleeper (2+1),1300,15:05
MR Travels ,NON A/C Sleeper (2+1),1300,15:00
Paulo travels ,NON A/C Seater / Sleeper (2+1),1000,16:00
Paulo travels ,Volvo Multi-Axle A/C seater/sleeper (2+1),1400,16:46
Paulo travels ,A/C Seater / Sleeper (2+1),1400,21:01
Paulo travels ,Volvo Multi-Axle A/C seater/sleeper (2+1),1500,19:30
Neeta tours and travels ,A/C Sleeper (2+1),950,22:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,19:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,09:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,09:45
Cashless Tours and Travels ,A/C Seater Push Back (2+2),400,06:35
Neeta tours and travels ,Benz A/C Sleeper (2+1),1900,15:15
Neeta tours and travels ,Benz A/C Sleeper (2+1),1100,22:00
Neeta tours and travels ,Benz A/C Sleeper (2+1),1100,21:00
Neeta tours and travels ,Benz A/C Sleeper (2+1),1900,13:15
Neeta tours and travels ,Benz A/C Sleeper (2+1),1900,14:15
Neeta tours and travels ,Benz A/C Sleeper (2+1),400,07:30
Neeta tours and travels ,Benz A/C Sleeper (2+1),1900,16:00
Neeta tours and travels ,Benz A/C Sleeper (2+1),1900,19:30
Neeta tours and travels ,Benz A/C Sleeper (2+1),1900,21:30
Neeta tours and travels ,Benz A/C Sleeper (2+1),1900,12:15
Neeta tours and travels ,Benz A/C Sleeper (2+1),1900,18:15
Chirag Travels Co.™ ,A/C Seater (2+2),500,22:35
Chirag Travels Co.™ ,A/C Seater (2+2),500,22:10
Vigneshwar Travels ,A/C Hi-Tech Seater (2+2),1200,06:00
Shankara Travels ,A/C Sleeper (2+1),450,21:45
PVS Tours and Travels ,A/C Sleeper (2+1),350,13:15
Shreyas Travels ,A/C Sleeper (2+1),1299,18:50
Shreyas Travels ,A/C Sleeper (2+1),1299,18:50
Yash Yatra Tour Orgniser ,A/C Seater (2+2),4000,20:40
Shreyas Travels ,NON A/C Sleeper (2+1),1299,18:50
Anand Travels ,Bharat Benz NON A/C sleeper (2+1),2500,11:30
Anand Travels ,Bharat Benz A/C Seater (2+1),2500,14:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,10:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,13:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,15:00
Sai  travels chembur ,A/C Sleeper (2+1),1400,20:29
Sai  travels chembur ,A/C Sleeper (2+1),1400,20:30
N.T. M B Link Travels ,NON A/C Seater (2+2),1010,21:30
N.T. Royal Cars Plus ,A/C Sleeper (2+1),1810,22:30
N.T. Siddhanath ,NON A/C Seater Push Back (2+2),1010,22:15
N.T. Shree Ganesh ,A/C Sleeper (2+1),1710,20:45
Gujarat Travels Premium Class ,A/C Sleeper (1+1),1600,06:15
Ocean Bus ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),1300,16:15
Swami  travel ,A/C Sleeper (2+1),1200,21:30
Swami  travel ,Volvo A/C Seater (2+2),650,21:06
Swami  travel ,A/C Sleeper (2+1),900,20:30
MR Travels ,NON A/C Seater (2+2),800,15:00
Paulo travels ,A/C Seater / Sleeper (2+1),1300,17:25
Chirag Travels Co.™ ,Scania AC Multi Axle Sleeper (2+1),1000,22:00
Chirag Travels Co.™ ,A/C Seater (2+2),500,22:00
KRSNA   Travels ,Corona A/C Sleeper (2+1),900,21:59
New sankalp classic travels ,A/C Sleeper (2+1),1200,19:45
Golden ,A/C Semi Sleeper (2+2),300,07:20
